Borough,Latitude,Longitude,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,Mean Bathrooms,County,Event Date Crimes,Event Ending Date Crimes,Event Report Date Crimes,Description Crimes,Attempt Complete Crimes,Level of Offense Crimes,Borough Crimes,Latitude Crimes,Longitude Crimes,Crimes Distance,BlockCode Census,Latitude Census,Longitude Census,County Census,Borough Census,TotalPop Census,Men Census,Women Census,Hispanic Census,White Census,Black Census,Native Census,Asian Census,Citizen Census,Income Census,IncomeErr Census,IncomePerCap Census,IncomePerCapErr Census,Poverty Census,ChildPoverty Census,Professional Census,Service Census,Office Census,Construction Census,Production Census,Drive Census,Carpool Census,Transit Census,Walk Census,OtherTransp Census,WorkAtHome Census,MeanCommute Census,Employed Census,PrivateWork Census,PublicWork Census,SelfEmployed Census,FamilyWork Census,Unemployment Census,Census Distance
MANHATTAN,40.811202,-73.942995,0,16,24,0,38,1,16,1.3544303797468351,NEW YORK,11/18/2015,11/18/2015,11/18/2015,DANGEROUS WEAPONS,COMPLETED,FELONY,MANHATTAN,40.81128718,-73.94300729999998,0.009530974415075461,36061020800.0,40.8090201005,-73.9412562814,NEW YORK,MANHATTAN,5320.0,2758.0,2562.0,11.9,21.8,53.3,0.0,7.2,3683.0,42220.0,8831.0,37019.0,7619.0,25.6,50.1,42.3,13.7,30.4,3.5,10.1,8.8,2.1,70.8,7.1,4.9,6.3,36.4,2695.0,78.7,11.1,10.2,0.0,11.0,0.2834188473859106
MANHATTAN,40.833829,-73.941339,20,3,1,0,0,1,0,2.6,NEW YORK,12/23/2015,12/23/2015,12/23/2015,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,40.83380951,-73.94134739,0.002279958148714357,36061023900.0,40.8327638191,-73.9412562814,NEW YORK,MANHATTAN,2810.0,1253.0,1557.0,49.1,7.7,38.5,0.0,1.3,1914.0,41036.0,12263.0,23321.0,3991.0,22.6,30.8,42.3,28.7,18.2,1.6,9.2,17.5,4.9,64.1,5.2,4.7,3.6,42.8,1426.0,73.4,17.3,9.3,0.0,14.0,0.11868423229723991
MANHATTAN,40.83516,-73.941663,6,11,3,0,0,0,0,2.0,NEW YORK,12/30/2015,12/30/2015,12/30/2015,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,40.83531945,-73.94203991,0.036340812705786686,36061024500.0,40.83615577889999,-73.9412562814,NEW YORK,MANHATTAN,16231.0,8315.0,7916.0,82.7,5.4,7.4,0.0,1.5,9202.0,35394.0,3870.0,15173.0,1608.0,30.8,40.8,23.3,38.0,22.6,5.8,10.3,7.4,4.9,64.3,16.0,1.2,6.2,37.0,7633.0,84.7,7.0,8.0,0.3,10.3,0.11592829263749767
MANHATTAN,40.835295,-73.94197700000002,4,14,2,0,0,0,0,2.0,NEW YORK,12/30/2015,12/30/2015,12/30/2015,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,40.83531945,-73.94203991,0.00595188513687392,36061024500.0,40.83615577889999,-73.9412562814,NEW YORK,MANHATTAN,16231.0,8315.0,7916.0,82.7,5.4,7.4,0.0,1.5,9202.0,35394.0,3870.0,15173.0,1608.0,30.8,40.8,23.3,38.0,22.6,5.8,10.3,7.4,4.9,64.3,16.0,1.2,6.2,37.0,7633.0,84.7,7.0,8.0,0.3,10.3,0.11333866288477328
BROOKLYN,40.708637,-73.948486,59,7,4,0,0,1,0,2.197183098591549,KINGS,11/30/2015,11/30/2015,11/30/2015,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BROOKLYN,40.70866926,-73.94848017,0.0036217879470567937,36047051100.0,40.70726130655,-73.9475879397,KINGS,BROOKLYN,3798.0,1774.0,2024.0,41.8,34.9,6.7,0.0,15.9,2732.0,31047.0,10042.0,26421.0,3750.0,29.2,56.7,37.0,28.7,26.2,3.8,4.3,7.9,0.0,80.1,5.3,4.2,2.6,40.8,1963.0,85.5,8.0,6.5,0.0,8.4,0.1707288819004754
BROOKLYN,40.709391,-73.948612,40,5,3,0,0,0,0,2.145833333333333,KINGS,9/15/2015,9/15/2015,9/15/2015,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,BROOKLYN,40.70937746,-73.94859866,0.0018797048911640705,36047051100.0,40.70726130655,-73.9475879397,KINGS,BROOKLYN,3798.0,1774.0,2024.0,41.8,34.9,6.7,0.0,15.9,2732.0,31047.0,10042.0,26421.0,3750.0,29.2,56.7,37.0,28.7,26.2,3.8,4.3,7.9,0.0,80.1,5.3,4.2,2.6,40.8,1963.0,85.5,8.0,6.5,0.0,8.4,0.25213136563339145
BROOKLYN,40.709584,-73.950047,41,4,2,1,0,0,0,2.145833333333333,KINGS,11/28/2015,11/28/2015,11/28/2015,BURGLARY,COMPLETED,FELONY,BROOKLYN,40.70962775,-73.94976712,0.02409461211285942,36047051300.0,40.7117839196,-73.9523366834,KINGS,BROOKLYN,4458.0,1953.0,2505.0,37.0,52.0,0.8,0.0,6.3,3229.0,66951.0,10960.0,38738.0,4373.0,14.6,39.4,58.9,13.7,21.0,3.2,3.2,7.7,0.0,70.5,11.9,1.3,8.6,33.6,3068.0,81.4,9.6,9.1,0.0,5.0,0.31168150151923013
QUEENS,40.70583900000001,-73.79221,20,39,193,134,0,1,38,1.4521963824289406,QUEENS,12/24/2015,12/24/2015,12/24/2015,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,40.70561651,-73.79208977,0.026743497324013744,36081046000.0,40.70914572863333,-73.79351758796669,QUEENS,QUEENS,5817.0,2783.0,3034.0,29.9,0.6,16.5,0.8,46.2,2376.0,28113.0,5209.0,14468.0,1931.0,31.3,37.3,17.8,30.5,28.4,5.1,18.2,16.9,6.2,61.7,10.3,2.4,2.6,47.1,2588.0,74.6,11.2,13.7,0.4,7.9,0.3839760023223886
BROOKLYN,40.576052,-73.98575600000002,90,89,244,22,0,1,113,1.1838565022421526,KINGS,9/11/2015,,9/12/2015,DANGEROUS WEAPONS,COMPLETED,FELONY,BROOKLYN,40.57583778,-73.98570324,0.024240984674815547,36047032600.0,40.5763316583,-73.9893768844,KINGS,BROOKLYN,6947.0,2828.0,4119.0,37.1,14.9,33.3,0.4,13.0,4330.0,20833.0,3071.0,12587.0,2151.0,40.7,45.3,18.0,34.7,18.3,10.9,18.1,17.5,1.6,66.8,12.7,0.2,1.2,43.5,2171.0,78.9,18.4,2.6,0.0,21.7,0.3074831561696263
BRONX,40.82007,-73.87621999999998,4,189,21,4,4,0,0,1.9954954954954955,BRONX,12/24/2015,,12/24/2015,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,40.82013324,-73.87624658,0.007381425060070434,36005002800.0,40.82183417085,-73.87793969846665,BRONX,BRONX,5299.0,2292.0,3007.0,23.0,0.2,71.4,0.0,1.7,4056.0,49529.0,5441.0,26652.0,3069.0,8.5,6.5,36.6,24.4,26.6,4.9,7.4,42.8,3.7,48.2,2.0,0.6,2.7,47.3,2394.0,61.9,37.4,0.6,0.0,12.8,0.24384259927766475
